# character mnemonics for RFC 1345
# source: http://tools.ietf.org/html/rfc1345
 
 SP     0020    SPACE
 9S     2079    SUPERSCRIPT DIGIT NINE
 +S     207a    SUPERSCRIPT PLUS SIGN
 -S     207b    SUPERSCRIPT MINUS
 =S     207c    SUPERSCRIPT EQUALS SIGN
 (S     207d    SUPERSCRIPT LEFT PARENTHESIS
 )S     207e    SUPERSCRIPT RIGHT PARENTHESIS
 nS     207f    SUPERSCRIPT LATIN SMALL LETTER N
 0s     2080    SUBSCRIPT DIGIT ZERO
 1s     2081    SUBSCRIPT DIGIT ONE
 2s     2082    SUBSCRIPT DIGIT TWO
 3s     2083    SUBSCRIPT DIGIT THREE
 4s     2084    SUBSCRIPT DIGIT FOUR
 5s     2085    SUBSCRIPT DIGIT FIVE
 6s     2086    SUBSCRIPT DIGIT SIX
 7s     2087    SUBSCRIPT DIGIT SEVEN
 8s     2088    SUBSCRIPT DIGIT EIGHT
 9s     2089    SUBSCRIPT DIGIT NINE
 +s     208a    SUBSCRIPT PLUS SIGN
 -s     208b    SUBSCRIPT MINUS
 =s     208c    SUBSCRIPT EQUALS SIGN
 (s     208d    SUBSCRIPT LEFT PARENTHESIS
 )s     208e    SUBSCRIPT RIGHT PARENTHESIS
 Li     20a4    LIRA SIGN
 Pt     20a7    PESETA SIGN
 W=     20a9    WON SIGN
 oC     2103    DEGREE CENTIGRADE
 co     2105    CARE OF
 oF     2109    DEGREE FAHRENHEIT
 N0     2116    NUMERO SIGN
 PO     2117    SOUND RECORDING COPYRIGHT
 Rx     211e    PRESCRIPTION TAKE
 SM     2120    SERVICE MARK
 TM     2122    TRADE MARK SIGN
 Om     2126    OHM SIGN
 AO     212b    ANGSTROEM SIGN
 13     2153    VULGAR FRACTION ONE THIRD
 23     2154    VULGAR FRACTION TWO THIRDS
 15     2155    VULGAR FRACTION ONE FIFTH
 25     2156    VULGAR FRACTION TWO FIFTHS
 35     2157    VULGAR FRACTION THREE FIFTHS
 45     2158    VULGAR FRACTION FOUR FIFTHS
 16     2159    VULGAR FRACTION ONE SIXTH
 56     215a    VULGAR FRACTION FIVE SIXTHS
 18     215b    VULGAR FRACTION ONE EIGHTH
 38     215c    VULGAR FRACTION THREE EIGHTHS
 58     215d    VULGAR FRACTION FIVE EIGHTHS
 78     215e    VULGAR FRACTION SEVEN EIGHTHS
 1R     2160    ROMAN NUMERAL ONE
 2R     2161    ROMAN NUMERAL TWO
 3R     2162    ROMAN NUMERAL THREE
 4R     2163    ROMAN NUMERAL FOUR
 5R     2164    ROMAN NUMERAL FIVE
 6R     2165    ROMAN NUMERAL SIX
 7R     2166    ROMAN NUMERAL SEVEN
 8R     2167    ROMAN NUMERAL EIGHT
 9R     2168    ROMAN NUMERAL NINE
 aR     2169    ROMAN NUMERAL TEN
 bR     216a    ROMAN NUMERAL ELEVEN
 cR     216b    ROMAN NUMERAL TWELVE
 50R    216c    ROMAN NUMERAL FIFTY
 100R   216d    ROMAN NUMERAL ONE HUNDRED
 500R   216e    ROMAN NUMERAL FIVE HUNDRED
 1000R  216f    ROMAN NUMERAL ONE THOUSAND
 1r     2170    SMALL ROMAN NUMERAL ONE
 2r     2171    SMALL ROMAN NUMERAL TWO
 3r     2172    SMALL ROMAN NUMERAL THREE
 4r     2173    SMALL ROMAN NUMERAL FOUR
 5r     2174    SMALL ROMAN NUMERAL FIVE
 6r     2175    SMALL ROMAN NUMERAL SIX
 7r     2176    SMALL ROMAN NUMERAL SEVEN
 8r     2177    SMALL ROMAN NUMERAL EIGHT
 9r     2178    SMALL ROMAN NUMERAL NINE
 ar     2179    SMALL ROMAN NUMERAL TEN
 br     217a    SMALL ROMAN NUMERAL ELEVEN
 cr     217b    SMALL ROMAN NUMERAL TWELVE
 50r    217c    SMALL ROMAN NUMERAL FIFTY
 100r   217d    SMALL ROMAN NUMERAL ONE HUNDRED
 500r   217e    SMALL ROMAN NUMERAL FIVE HUNDRED
 1000r  217f    SMALL ROMAN NUMERAL ONE THOUSAND
 1000RCD 2180   ROMAN NUMERAL ONE THOUSAND C D
 5000R  2181    ROMAN NUMERAL FIVE THOUSAND
 10000R 2182    ROMAN NUMERAL TEN THOUSAND
 <-     2190    LEFTWARDS ARROW
 -!     2191    UPWARDS ARROW
 ->     2192    RIGHTWARDS ARROW
 -v     2193    DOWNWARDS ARROW
 <>     2194    LEFT RIGHT ARROW
 UD     2195    UP DOWN ARROW
 <!!    2196    NORTH WEST ARROW
 //>    2197    NORTH EAST ARROW
 !!>    2198    SOUTH EAST ARROW
 <//    2199    SOUTH WEST ARROW
 <=     21d0    LEFTWARDS DOUBLE ARROW
 =>     21d2    RIGHTWARDS DOUBLE ARROW
 ==     21d4    LEFT RIGHT DOUBLE ARROW
 FA     2200    FOR ALL
 dP     2202    PARTIAL DIFFERENTIAL
 TE     2203    THERE EXISTS
 /0     2205    EMPTY SET
 DE     2206    INCREMENT
 NB     2207    NABLA
 (-     2208    ELEMENT OF
 -)     220b    CONTAINS AS MEMBER
 *P     220f    N-ARY PRODUCT
 +Z     2211    N-ARY SUMMATION
 -2     2212    MINUS SIGN
 -+     2213    MINUS-OR-PLUS SIGN
 *-     2217    ASTERISK OPERATOR
 Ob     2218    RING OPERATOR
 Sb     2219    BULLET OPERATOR
 RT     221a    SQUARE ROOT
 0(     221d    PROPORTIONAL TO
 00     221e    INFINITY
 -L     221f    RIGHT ANGLE
 -V     2220    ANGLE
 PP     2225    PARALLEL TO
 AN     2227    LOGICAL AND
 OR     2228    LOGICAL OR
 (U     2229    INTERSECTION
 )U     222a    UNION
 In     222b    INTEGRAL
 DI     222c    DOUBLE INTEGRAL
 Io     222e    CONTOUR INTEGRAL
 .:     2234    THEREFORE
 :.     2235    BECAUSE
 :R     2236    RATIO
 ::     2237    PROPORTION
 ?1     223c    TILDE OPERATOR
 CG     223e    INVERTED LAZY S
 ?-     2243    ASYMPTOTICALLY EQUAL TO
 ?=     2245    APPROXIMATELY EQUAL TO
 ?2     2248    ALMOST EQUAL TO
 =?     224c    ALL EQUAL TO
 HI     2253    IMAGE OF OR APPROXIMATELY EQUAL TO
 !=     2260    NOT EQUAL TO
 =3     2261    IDENTICAL TO
 =<     2264    LESS-THAN OR EQUAL TO
 >=     2265    GREATER-THAN OR EQUAL TO
 <*     226a    MUCH LESS-THAN
 *>     226b    MUCH GREATER-THAN
 !<     226e    NOT LESS-THAN
 !>     226f    NOT GREATER-THAN
 (C     2282    SUBSET OF
 )C     2283    SUPERSET OF
 (_     2286    SUBSET OF OR EQUAL TO
 )_     2287    SUPERSET OF OR EQUAL TO
 0.     2299    CIRCLED DOT OPERATOR
 02     229a    CIRCLED RING OPERATOR
 -T     22a5    UP TACK
 .P     22c5    DOT OPERATOR
 :3     22ee    VERTICAL ELLIPSIS
 .3     22ef    MIDLINE HORIZONTAL ELLIPSIS
 Eh     2302    HOUSE
 <7     2308    LEFT CEILING
 >7     2309    RIGHT CEILING
 7<     230a    LEFT FLOOR
 7>     230b    RIGHT FLOOR
 NI     2310    REVERSED NOT SIGN
 (A     2312    ARC
 TR     2315    TELEPHONE RECORDER
 Iu     2320    TOP HALF INTEGRAL
 Il     2321    BOTTOM HALF INTEGRAL
 </     2329    LEFT-POINTING ANGLE BRACKET
 />     232a    RIGHT-POINTING ANGLE BRACKET
 Vs     2423    OPEN BOX
 1h     2440    OCR HOOK
 3h     2441    OCR CHAIR
 2h     2442    OCR FORK
 4h     2443    OCR INVERTED FORK
 1j     2446    OCR BRANCH BANK IDENTIFICATION
 2j     2447    OCR AMOUNT OF CHECK
 3j     2448    OCR DASH
 4j     2449    OCR CUSTOMER ACCOUNT NUMBER
 1-o    2460    CIRCLED DIGIT ONE
 2-o    2461    CIRCLED DIGIT TWO
 3-o    2462    CIRCLED DIGIT THREE
 4-o    2463    CIRCLED DIGIT FOUR
 5-o    2464    CIRCLED DIGIT FIVE
 6-o    2465    CIRCLED DIGIT SIX
 7-o    2466    CIRCLED DIGIT SEVEN
 8-o    2467    CIRCLED DIGIT EIGHT
 9-o    2468    CIRCLED DIGIT NINE
 10-o   2469    CIRCLED NUMBER TEN
 11-o   246a    CIRCLED NUMBER ELEVEN
 12-o   246b    CIRCLED NUMBER TWELVE
 13-o   246c    CIRCLED NUMBER THIRTEEN
 14-o   246d    CIRCLED NUMBER FOURTEEN
 15-o   246e    CIRCLED NUMBER FIFTEEN
 16-o   246f    CIRCLED NUMBER SIXTEEN
 17-o   2470    CIRCLED NUMBER SEVENTEEN
 18-o   2471    CIRCLED NUMBER EIGHTEEN
 19-o   2472    CIRCLED NUMBER NINETEEN
 20-o   2473    CIRCLED NUMBER TWENTY
 (1)    2474    PARENTHESIZED DIGIT ONE
 (2)    2475    PARENTHESIZED DIGIT TWO
 (3)    2476    PARENTHESIZED DIGIT THREE
 (4)    2477    PARENTHESIZED DIGIT FOUR
 (5)    2478    PARENTHESIZED DIGIT FIVE
 (6)    2479    PARENTHESIZED DIGIT SIX
 (7)    247a    PARENTHESIZED DIGIT SEVEN
 (8)    247b    PARENTHESIZED DIGIT EIGHT
 (9)    247c    PARENTHESIZED DIGIT NINE
 (10)   247d    PARENTHESIZED NUMBER TEN
 (11)   247e    PARENTHESIZED NUMBER ELEVEN
 (12)   247f    PARENTHESIZED NUMBER TWELVE
 (13)   2480    PARENTHESIZED NUMBER THIRTEEN
 (14)   2481    PARENTHESIZED NUMBER FOURTEEN
 (15)   2482    PARENTHESIZED NUMBER FIFTEEN
 (16)   2483    PARENTHESIZED NUMBER SIXTEEN
 (17)   2484    PARENTHESIZED NUMBER SEVENTEEN
 (18)   2485    PARENTHESIZED NUMBER EIGHTEEN
 (19)   2486    PARENTHESIZED NUMBER NINETEEN
 (20)   2487    PARENTHESIZED NUMBER TWENTY
 1.     2488    DIGIT ONE FULL STOP
 2.     2489    DIGIT TWO FULL STOP
 3.     248a    DIGIT THREE FULL STOP
 4.     248b    DIGIT FOUR FULL STOP
 5.     248c    DIGIT FIVE FULL STOP
 6.     248d    DIGIT SIX FULL STOP
 7.     248e    DIGIT SEVEN FULL STOP
 8.     248f    DIGIT EIGHT FULL STOP
 9.     2490    DIGIT NINE FULL STOP
 10.    2491    NUMBER TEN FULL STOP
 11.    2492    NUMBER ELEVEN FULL STOP
 12.    2493    NUMBER TWELVE FULL STOP
 13.    2494    NUMBER THIRTEEN FULL STOP
 14.    2495    NUMBER FOURTEEN FULL STOP
 15.    2496    NUMBER FIFTEEN FULL STOP
 16.    2497    NUMBER SIXTEEN FULL STOP
 17.    2498    NUMBER SEVENTEEN FULL STOP
 18.    2499    NUMBER EIGHTEEN FULL STOP
 19.    249a    NUMBER NINETEEN FULL STOP
 20.    249b    NUMBER TWENTY FULL STOP
 (a)    249c    PARENTHESIZED LATIN SMALL LETTER A
 (b)    249d    PARENTHESIZED LATIN SMALL LETTER B
 (c)    249e    PARENTHESIZED LATIN SMALL LETTER C
 (d)    249f    PARENTHESIZED LATIN SMALL LETTER D
 (e)    24a0    PARENTHESIZED LATIN SMALL LETTER E
 (f)    24a1    PARENTHESIZED LATIN SMALL LETTER F
 (g)    24a2    PARENTHESIZED LATIN SMALL LETTER G
 (h)    24a3    PARENTHESIZED LATIN SMALL LETTER H
 (i)    24a4    PARENTHESIZED LATIN SMALL LETTER I
 (j)    24a5    PARENTHESIZED LATIN SMALL LETTER J
 (k)    24a6    PARENTHESIZED LATIN SMALL LETTER K
 (l)    24a7    PARENTHESIZED LATIN SMALL LETTER L
 (m)    24a8    PARENTHESIZED LATIN SMALL LETTER M
 (n)    24a9    PARENTHESIZED LATIN SMALL LETTER N
 (o)    24aa    PARENTHESIZED LATIN SMALL LETTER O
 (p)    24ab    PARENTHESIZED LATIN SMALL LETTER P
 (q)    24ac    PARENTHESIZED LATIN SMALL LETTER Q
 (r)    24ad    PARENTHESIZED LATIN SMALL LETTER R
 (s)    24ae    PARENTHESIZED LATIN SMALL LETTER S
 (t)    24af    PARENTHESIZED LATIN SMALL LETTER T
 (u)    24b0    PARENTHESIZED LATIN SMALL LETTER U
 (v)    24b1    PARENTHESIZED LATIN SMALL LETTER V
 (w)    24b2    PARENTHESIZED LATIN SMALL LETTER W
 (x)    24b3    PARENTHESIZED LATIN SMALL LETTER X
 (y)    24b4    PARENTHESIZED LATIN SMALL LETTER Y
 (z)    24b5    PARENTHESIZED LATIN SMALL LETTER Z
 A-o    24b6    CIRCLED LATIN CAPITAL LETTER A
 B-o    24b7    CIRCLED LATIN CAPITAL LETTER B
 C-o    24b8    CIRCLED LATIN CAPITAL LETTER C
 D-o    24b9    CIRCLED LATIN CAPITAL LETTER D
 E-o    24ba    CIRCLED LATIN CAPITAL LETTER E
 F-o    24bb    CIRCLED LATIN CAPITAL LETTER F
 G-o    24bc    CIRCLED LATIN CAPITAL LETTER G
 H-o    24bd    CIRCLED LATIN CAPITAL LETTER H
 I-o    24be    CIRCLED LATIN CAPITAL LETTER I
 J-o    24bf    CIRCLED LATIN CAPITAL LETTER J
 K-o    24c0    CIRCLED LATIN CAPITAL LETTER K
 L-o    24c1    CIRCLED LATIN CAPITAL LETTER L
 M-o    24c2    CIRCLED LATIN CAPITAL LETTER M
 N-o    24c3    CIRCLED LATIN CAPITAL LETTER N
 O-o    24c4    CIRCLED LATIN CAPITAL LETTER O
 P-o    24c5    CIRCLED LATIN CAPITAL LETTER P
 Q-o    24c6    CIRCLED LATIN CAPITAL LETTER Q
 R-o    24c7    CIRCLED LATIN CAPITAL LETTER R
 S-o    24c8    CIRCLED LATIN CAPITAL LETTER S
 T-o    24c9    CIRCLED LATIN CAPITAL LETTER T
 U-o    24ca    CIRCLED LATIN CAPITAL LETTER U
 V-o    24cb    CIRCLED LATIN CAPITAL LETTER V
 W-o    24cc    CIRCLED LATIN CAPITAL LETTER W
 X-o    24cd    CIRCLED LATIN CAPITAL LETTER X
 Y-o    24ce    CIRCLED LATIN CAPITAL LETTER Y
 Z-o    24cf    CIRCLED LATIN CAPITAL LETTER Z
 a-o    24d0    CIRCLED LATIN SMALL LETTER A
 b-o    24d1    CIRCLED LATIN SMALL LETTER B
 c-o    24d2    CIRCLED LATIN SMALL LETTER C
 d-o    24d3    CIRCLED LATIN SMALL LETTER D
 e-o    24d4    CIRCLED LATIN SMALL LETTER E
 f-o    24d5    CIRCLED LATIN SMALL LETTER F
 g-o    24d6    CIRCLED LATIN SMALL LETTER G
 h-o    24d7    CIRCLED LATIN SMALL LETTER H
 i-o    24d8    CIRCLED LATIN SMALL LETTER I
 j-o    24d9    CIRCLED LATIN SMALL LETTER J
 k-o    24da    CIRCLED LATIN SMALL LETTER K
 l-o    24db    CIRCLED LATIN SMALL LETTER L
 m-o    24dc    CIRCLED LATIN SMALL LETTER M
 n-o    24dd    CIRCLED LATIN SMALL LETTER N
 o-o    24de    CIRCLED LATIN SMALL LETTER O
 p-o    24df    CIRCLED LATIN SMALL LETTER P
 q-o    24e0    CIRCLED LATIN SMALL LETTER Q
 r-o    24e1    CIRCLED LATIN SMALL LETTER R
 s-o    24e2    CIRCLED LATIN SMALL LETTER S
 t-o    24e3    CIRCLED LATIN SMALL LETTER T
 u-o    24e4    CIRCLED LATIN SMALL LETTER U
 v-o    24e5    CIRCLED LATIN SMALL LETTER V
 w-o    24e6    CIRCLED LATIN SMALL LETTER W
 x-o    24e7    CIRCLED LATIN SMALL LETTER X
 y-o    24e8    CIRCLED LATIN SMALL LETTER Y
 z-o    24e9    CIRCLED LATIN SMALL LETTER Z
 0-o    24ea    CIRCLED DIGIT ZERO
 hh     2500    BOX DRAWINGS LIGHT HORIZONTAL
 HH     2501    BOX DRAWINGS HEAVY HORIZONTAL
 vv     2502    BOX DRAWINGS LIGHT VERTICAL
 VV     2503    BOX DRAWINGS HEAVY VERTICAL
 3-     2504    BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
 3_     2505    BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
 3!     2506    BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
 3/     2507    BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
 4-     2508    BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
 4_     2509    BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
 4!     250a    BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
 4/     250b    BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
 dr     250c    BOX DRAWINGS LIGHT DOWN AND RIGHT
 dR     250d    BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
 Dr     250e    BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
 DR     250f    BOX DRAWINGS HEAVY DOWN AND RIGHT
 dl     2510    BOX DRAWINGS LIGHT DOWN AND LEFT
 dL     2511    BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
 Dl     2512    BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
 LD     2513    BOX DRAWINGS HEAVY DOWN AND LEFT
 ur     2514    BOX DRAWINGS LIGHT UP AND RIGHT
 uR     2515    BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
 Ur     2516    BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
 UR     2517    BOX DRAWINGS HEAVY UP AND RIGHT
 ul     2518    BOX DRAWINGS LIGHT UP AND LEFT
 uL     2519    BOX DRAWINGS UP LIGHT AND LEFT HEAVY
 Ul     251a    BOX DRAWINGS UP HEAVY AND LEFT LIGHT
 UL     251b    BOX DRAWINGS HEAVY UP AND LEFT
 vr     251c    BOX DRAWINGS LIGHT VERTICAL AND RIGHT
 vR     251d    BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
 Udr    251e    BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
 uDr    251f    BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
 Vr     2520    BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
 UdR    2521    BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
 uDR    2522    BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
 VR     2523    BOX DRAWINGS HEAVY VERTICAL AND RIGHT
 vl     2524    BOX DRAWINGS LIGHT VERTICAL AND LEFT
 vL     2525    BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
 Udl    2526    BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
 uDl    2527    BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
 Vl     2528    BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
 UdL    2529    BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
 uDL    252a    BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
 VL     252b    BOX DRAWINGS HEAVY VERTICAL AND LEFT
 dh     252c    BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
 dLr    252d    BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
 dlR    252e    BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
 dH     252f    BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
 Dh     2530    BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
 DLr    2531    BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
 DlR    2532    BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
 DH     2533    BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
 uh     2534    BOX DRAWINGS LIGHT UP AND HORIZONTAL
 uLr    2535    BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
 ulR    2536    BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
 uH     2537    BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
 Uh     2538    BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
 ULr    2539    BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
 UlR    253a    BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
 UH     253b    BOX DRAWINGS HEAVY UP AND HORIZONTAL
 vh     253c    BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
 vLr    253d    BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
 vlR    253e    BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
 vH     253f    BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
 Udh    2540    BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
 uDh    2541    BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
 Vh     2542    BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
 UdLr   2543    BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
 UdlR   2544    BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
 uDLr   2545    BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
 uDlR   2546    BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
 UdH    2547    BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
 uDH    2548    BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
 VLr    2549    BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
 VlR    254a    BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
 VH     254b    BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
 FD     2571    BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
 BD     2572    BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
 TB     2580    UPPER HALF BLOCK
 LB     2584    LOWER HALF BLOCK
 FB     2588    FULL BLOCK
 lB     258c    LEFT HALF BLOCK
 RB     2590    RIGHT HALF BLOCK
 .S     2591    LIGHT SHADE
 :S     2592    MEDIUM SHADE
 ?S     2593    DARK SHADE
 fS     25a0    BLACK SQUARE
 OS     25a1    WHITE SQUARE
 RO     25a2    WHITE SQUARE WITH ROUNDED CORNERS
 Rr     25a3    WHITE SQUARE CONTAINING BLACK SMALL SQUARE
 RF     25a4    SQUARE WITH HORIZONTAL FILL
 RY     25a5    SQUARE WITH VERTICAL FILL
 RH     25a6    SQUARE WITH ORTHOGONAL CROSSHATCH FILL
 RZ     25a7    SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
 RK     25a8    SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
 RX     25a9    SQUARE WITH DIAGONAL CROSSHATCH FILL
 sB     25aa    BLACK SMALL SQUARE
 SR     25ac    BLACK RECTANGLE
 Or     25ad    WHITE RECTANGLE
 UT     25b2    BLACK UP-POINTING TRIANGLE
 uT     25b3    WHITE UP-POINTING TRIANGLE
 PR     25b6    BLACK RIGHT-POINTING TRIANGLE
 Tr     25b7    WHITE RIGHT-POINTING TRIANGLE
 Dt     25bc    BLACK DOWN-POINTING TRIANGLE
 dT     25bd    WHITE DOWN-POINTING TRIANGLE
 PL     25c0    BLACK LEFT-POINTING TRIANGLE
 Tl     25c1    WHITE LEFT-POINTING TRIANGLE
 Db     25c6    BLACK DIAMOND
 Dw     25c7    WHITE DIAMOND
 LZ     25ca    LOZENGE
 0m     25cb    WHITE CIRCLE
 0o     25ce    BULLSEYE
 0M     25cf    BLACK CIRCLE
 0L     25d0    CIRCLE WITH LEFT HALF BLACK
 0R     25d1    CIRCLE WITH RIGHT HALF BLACK
 Sn     25d8    INVERSE BULLET
 Ic     25d9    INVERSE WHITE CIRCLE
 Fd     25e2    BLACK LOWER RIGHT TRIANGLE
 Bd     25e3    BLACK LOWER LEFT TRIANGLE
 *2     2605    BLACK STAR
 *1     2606    WHITE STAR
 TEL    260e    BLACK TELEPHONE
 tel    260f    WHITE TELEPHONE
 <H     261c    WHITE LEFT POINTING INDEX
 >H     261e    WHITE RIGHT POINTING INDEX
 0u     263a    WHITE SMILING FACE
 0U     263b    BLACK SMILING FACE
 SU     263c    WHITE SUN WITH RAYS
 Fm     2640    FEMALE SIGN
 Ml     2642    MALE SIGN
 cS     2660    BLACK SPADE SUIT
 cH     2661    WHITE HEART SUIT
 cD     2662    WHITE DIAMOND SUIT
 cC     2663    BLACK CLUB SUIT
 cS-    2664    WHITE SPADE SUIT
 cH-    2665    BLACK HEART SUIT
 cD-    2666    BLACK DIAMOND SUIT
 cC-    2667    WHITE CLUB SUIT
 Md     2669    QUARTER NOTE
 M8     266a    EIGHTH NOTE
 M2     266b    BARRED EIGHTH NOTES
 M16    266c    BARRED SIXTEENTH NOTES
 Mb     266d    MUSIC FLAT SIGN
 Mx     266e    MUSIC NATURAL SIGN
 MX     266f    MUSIC SHARP SIGN
 OK     2713    CHECK MARK
 XX     2717    BALLOT X
 -X     2720    MALTESE CROSS
 IS     3000    IDEOGRAPHIC SPACE
 ,_     3001    IDEOGRAPHIC COMMA
 ._     3002    IDEOGRAPHIC PERIOD
 +"     3003    DITTO MARK
 +_     3004    IDEOGRAPHIC DITTO MARK
 *_     3005    IDEOGRAPHIC ITERATION MARK
 ;_     3006    IDEOGRAPHIC CLOSING MARK
 0_     3007    IDEOGRAPHIC NUMBER ZERO
 <+     300a    LEFT DOUBLE ANGLE BRACKET
 >+     300b    RIGHT DOUBLE ANGLE BRACKET
 <'     300c    LEFT CORNER BRACKET
 >'     300d    RIGHT CORNER BRACKET
 <"     300e    LEFT WHITE CORNER BRACKET
 >"     300f    RIGHT WHITE CORNER BRACKET
 ("     3010    LEFT BLACK LENTICULAR BRACKET
 )"     3011    RIGHT BLACK LENTICULAR BRACKET
 =T     3012    POSTAL MARK
 =_     3013    GETA MARK
 ('     3014    LEFT TORTOISE SHELL BRACKET
 )'     3015    RIGHT TORTOISE SHELL BRACKET
 (I     3016    LEFT WHITE LENTICULAR BRACKET
 )I     3017    RIGHT WHITE LENTICULAR BRACKET
 -?     301c    WAVE DASH
 =T:)   3020    POSTAL MARK FACE
 A5     3041    HIRAGANA LETTER SMALL A
 a5     3042    HIRAGANA LETTER A
 I5     3043    HIRAGANA LETTER SMALL I
 i5     3044    HIRAGANA LETTER I
 U5     3045    HIRAGANA LETTER SMALL U
 u5     3046    HIRAGANA LETTER U
 E5     3047    HIRAGANA LETTER SMALL E
 e5     3048    HIRAGANA LETTER E
 O5     3049    HIRAGANA LETTER SMALL O
 o5     304a    HIRAGANA LETTER O
 ka     304b    HIRAGANA LETTER KA
 ga     304c    HIRAGANA LETTER GA
 ki     304d    HIRAGANA LETTER KI
 gi     304e    HIRAGANA LETTER GI
 ku     304f    HIRAGANA LETTER KU
 gu     3050    HIRAGANA LETTER GU
 ke     3051    HIRAGANA LETTER KE
 ge     3052    HIRAGANA LETTER GE
 ko     3053    HIRAGANA LETTER KO
 go     3054    HIRAGANA LETTER GO
 sa     3055    HIRAGANA LETTER SA
 za     3056    HIRAGANA LETTER ZA
 si     3057    HIRAGANA LETTER SI
 zi     3058    HIRAGANA LETTER ZI
 su     3059    HIRAGANA LETTER SU
 zu     305a    HIRAGANA LETTER ZU
 se     305b    HIRAGANA LETTER SE
 ze     305c    HIRAGANA LETTER ZE
 so     305d    HIRAGANA LETTER SO
 zo     305e    HIRAGANA LETTER ZO
 ta     305f    HIRAGANA LETTER TA
 da     3060    HIRAGANA LETTER DA
 ti     3061    HIRAGANA LETTER TI
 di     3062    HIRAGANA LETTER DI
 tU     3063    HIRAGANA LETTER SMALL TU
 tu     3064    HIRAGANA LETTER TU
 du     3065    HIRAGANA LETTER DU
 te     3066    HIRAGANA LETTER TE
 de     3067    HIRAGANA LETTER DE
 to     3068    HIRAGANA LETTER TO
 do     3069    HIRAGANA LETTER DO
